Z	N	sc
44	42	3.6198887239945634
31	56	0.4685670755090996
32	55	0.4685670755090996
33	54	1.041448080927239
34	53	1.041448080927239
35	52	0.40828805383466715
36	51	0.40828805383466715
37	50	-1.5119327188626812
38	49	-1.5119327188626812
39	48	0.7926386928877491
40	47	0.7926386928877491
41	46	2.3857151718614205
42	45	2.3857151718614205
43	44	2.9166058894520575
44	43	2.9166058894520575
31	57	1.9956513414222172
32	56	0.46678615059818185
33	55	2.107370450874896
34	54	1.0374988492294506
35	53	1.979493253085593
36	52	0.4067404921217985
37	51	0.6935640138133294
38	50	-1.5061859848465247
39	49	-1.4232044579441663
40	48	0.7896215518205736
41	47	0.6534456860251794
42	46	2.3766400333581714
43	45	1.689904101082675
44	44	2.905511400233081
45	43	1.689904101082675
32	57	1.988150575297368
33	56	2.0994546507563427
34	55	2.0994546507563427
35	54	1.972055982885422
36	53	1.972055982885422
37	52	0.6909593658233462
38	51	0.6909593658233462
39	50	-1.4178569352613977
40	49	-1.4178569352613977
41	48	0.6509854632377028
42	47	0.6509854632377028
43	46	1.6835463193549458
44	45	1.6835463193549458
45	44	1.6835463193549458
32	58	1.9807613518523794
33	57	3.6101628308974796
34	56	2.0916565806992367
35	55	3.047923080028795
36	54	1.964729319945036
37	53	2.25145491598073
38	52	0.6883934580318964
39	51	0.7695693256987397
40	50	-1.412588940217347
41	49	-1.5477492990457904
42	48	0.6485618126889676
43	47	-0.03305070281862754
44	46	1.6772830636564322
45	45	0.470747580033958
46	44	1.6772830636564322
33	58	3.5968968223407956
34	57	3.5968968223407956
35	56	3.0367243125617733
36	55	3.0367243125617733
37	54	2.2431781054510793
38	53	2.2431781054510793
39	52	0.7667410893770921
40	51	0.7667410893770921
41	50	-1.5420622477788584
42	49	-1.5420622477788584
43	48	-0.03293359750773561
44	47	-0.03293359750773561
45	46	0.4690121418113904
46	45	0.4690121418113904
33	59	4.645805021417573
34	58	3.5838237975681295
35	57	4.532941413406206
36	56	3.0256884604098104
37	55	3.3365897171215693
38	54	2.2350216887075476
39	53	2.3121845067566937
40	52	0.7639539949395839
41	51	0.6150373061352639
42	50	-1.5364579286324442
43	49	-2.213096635974125
44	48	-0.03281820926167711
45	47	-1.2305467657547524
46	46	0.46730193201597103
47	45	-1.2305467657547524
34	59	4.629099661337932
35	58	4.516642900182205
36	57	4.516642900182205
37	56	3.3245897208344104
38	55	3.3245897208344104
39	54	2.3038678620089286
40	53	2.3038678620089286
41	52	0.612824963653793
42	51	0.612824963653793
43	50	-2.20513980586702
44	49	-2.20513980586702
45	48	-1.2261247443507273
46	47	-1.2261247443507273
47	46	-1.2261247443507273
34	60	4.612632122222976
35	59	5.556091736229519
36	58	4.500576419444087
37	57	4.808297634727296
38	56	3.312760552317968
39	55	3.4093853857373233
40	54	2.2956696074140837
41	53	2.1453120142500666
42	52	0.6106441140600509
43	51	-0.08824488699679023
44	50	-2.197296254085586
45	49	-3.386469526250039
46	48	-1.2217656842381075
47	47	-2.907486048256942
48	46	-1.2217656842381075
34	61	5.065878056341717
35	60	5.536534124539685
36	59	5.536534124539685
37	58	4.791370099567075
38	57	4.791370099567075
39	56	3.3973793258769547
40	55	3.3973793258769547
41	54	2.1377588332065898
42	53	2.1377588332065898
43	52	-0.08793643970557241
44	51	-0.08793643970557241
45	50	-3.3745493008138965
46	49	-3.3745493008138965
47	48	-2.8972525006547585
48	47	-2.8972525006547585
35	61	6.027738819509295
36	60	5.517249115028562
37	59	5.825114743823633
38	58	4.774678501065864
39	57	4.8704736952793155
40	56	3.3855405968101877
41	55	3.2420350492254784
42	54	2.1303109270681944
43	53	1.432922007412344
